Year,Month,Division,District,Crime Type,Reported Number,Division_legends,District_legends,,
2012,12,3,3.1,Car snatching,0,,,,
2012,12,3,Shikarpur,Murder,11,,,,
2012,12,3,Shikarpur,Murder in the form of target killing,0,,,,
2012,12,3,Shikarpur,Murder during dacoity/robbery,1,,,,
2012,12,3,Shikarpur,Highway dacoity/robbery,1,,,,
2012,12,3,Shikarpur,Bank dacoity/robbery,0,,,,
2012,12,3,Shikarpur,Car snatching,0,,,,
2012,12,3,Kamber Shahdadkot,Murder,11,,,,
2012,12,3,Kamber Shahdadkot,Murder in the form of target killing,0,,,,
2012,12,3,Kamber Shahdadkot,Murder during dacoity/robbery,0,,,,
2012,12,3,Kamber Shahdadkot,Highway dacoity/robbery,0,,,,
2012,12,3,Kamber Shahdadkot,Bank dacoity/robbery,0,,,,
2012,12,3,Kamber Shahdadkot,Car snatching,0,,,,
2012,12,3,Jacobabad,Murder,1,,,,
2012,12,3,Jacobabad,Murder in the form of target killing,0,,,,
2012,12,3,Jacobabad,Murder during dacoity/robbery,0,,,,
2012,12,3,Jacobabad,Highway dacoity/robbery,0,,,,
2012,12,3,Jacobabad,Bank dacoity/robbery,0,,,,
2012,12,3,Jacobabad,Car snatching,0,,,,
2012,12,3,Kashmore,Murder,3,,,,
2012,12,3,Kashmore,Murder in the form of target killing,0,,,,
2012,12,3,Kashmore,Murder during dacoity/robbery,0,,,,
2012,12,3,Kashmore,Highway dacoity/robbery,0,,,,
2012,12,3,Kashmore,Bank dacoity/robbery,0,,,,
2012,12,3,Kashmore,Car snatching,0,,,,
2013,1,2,South Zone,Murder,38,,,,
2013,1,2,South Zone,Murder in the form of target killing,3,,,,
2013,1,2,South Zone,Murder during dacoity/robbery,1,,,,
2013,1,2,South Zone,Highway dacoity/robbery,0,,,,
2013,1,2,South Zone,Bank dacoity/robbery,0,,,,
2013,1,2,South Zone,Car snatching,13,,,,
2013,1,2,East Zone,Murder,42,,,,
2013,1,2,East Zone,Murder in the form of target killing,2,,,,
2013,1,2,East Zone,Murder during dacoity/robbery,2,,,,
2013,1,2,East Zone,Highway dacoity/robbery,0,,,,
2013,1,2,East Zone,Bank dacoity/robbery,1,,,,
2013,1,2,East Zone,Car snatching,20,,,,
2013,1,2,Malir,Murder,35,,,,
2013,1,2,Malir,Murder in the form of target killing,0,,,,
2013,1,2,Malir,Murder during dacoity/robbery,0,,,,
2013,1,2,Malir,Highway dacoity/robbery,0,,,,
2013,1,2,Malir,Bank dacoity/robbery,0,,,,
2013,1,2,Malir,Car snatching,2,,,,
2013,1,2,West Zone,Murder,21,,,,
2013,1,2,West Zone,Murder in the form of target killing,2,,,,
2013,1,2,West Zone,Murder during dacoity/robbery,4,,,,
2013,1,2,West Zone,Highway dacoity/robbery,4,,,,
2013,1,2,West Zone,Bank dacoity/robbery,0,,,,
2013,1,2,West Zone,Car snatching,2,,,,
2013,1,2,Central Zone,Murder,59,,,,
2013,1,2,Central Zone,Murder in the form of target killing,3,,,,
2013,1,2,Central Zone,Murder during dacoity/robbery,2,,,,
2013,1,2,Central Zone,Highway dacoity/robbery,0,,,,
2013,1,2,Central Zone,Bank dacoity/robbery,0,,,,
2013,1,2,Central Zone,Car snatching,1,,,,
2013,1,1,1.1,Murder,6,,,,
2013,1,1,1.1,Murder in the form of target killing,0,,,,
2013,1,1,1.1,Murder during dacoity/robbery,1,,,,
2013,1,1,1.1,Highway dacoity/robbery,0,,,,
2013,1,1,1.1,Bank dacoity/robbery,0,,,,
2013,1,1,1.1,Car snatching,2,,,,
2013,1,1,Jamshoro,Murder,1,,,,
2013,1,1,Jamshoro,Murder in the form of target killing,0,,,,
2013,1,1,Jamshoro,Murder during dacoity/robbery,1,,,,
2013,1,1,Jamshoro,Highway dacoity/robbery,1,,,,
2013,1,1,Jamshoro,Bank dacoity/robbery,0,,,,
2013,1,1,Jamshoro,Car snatching,1,,,,
2013,1,1,Dadu,Murder,4,,,,
2013,1,1,Dadu,Murder in the form of target killing,0,,,,
2013,1,1,Dadu,Murder during dacoity/robbery,0,,,,
2013,1,1,Dadu,Highway dacoity/robbery,1,,,,
2013,1,1,Dadu,Bank dacoity/robbery,0,,,,
2013,1,1,Dadu,Car snatching,0,,,,
2013,1,1,Thatta,Murder,2,,,,
2013,1,1,Thatta,Murder in the form of target killing,0,,,,
2013,1,1,Thatta,Murder during dacoity/robbery,0,,,,
2013,1,1,Thatta,Highway dacoity/robbery,0,,,,
2013,1,1,Thatta,Bank dacoity/robbery,0,,,,
2013,1,1,Thatta,Car snatching,1,,,,
2013,1,1,1.2,Murder,2,,,,
2013,1,1,1.2,Murder in the form of target killing,0,,,,
2013,1,1,1.2,Murder during dacoity/robbery,1,,,,
2013,1,1,1.2,Highway dacoity/robbery,0,,,,
2013,1,1,1.2,Bank dacoity/robbery,0,,,,
2013,1,1,1.2,Car snatching,0,,,,
2013,1,1,S.B Abad,Murder,3,,,,
2013,1,1,S.B Abad,Murder in the form of target killing,0,,,,
2013,1,1,S.B Abad,Murder during dacoity/robbery,1,,,,
2013,1,1,S.B Abad,Highway dacoity/robbery,0,,,,
2013,1,1,S.B Abad,Bank dacoity/robbery,0,,,,
2013,1,1,S.B Abad,Car snatching,1,,,,
2013,1,1,T.M Khan,Murder,1,,,,
2013,1,1,T.M Khan,Murder in the form of target killing,0,,,,
2013,1,1,T.M Khan,Murder during dacoity/robbery,0,,,,
2013,1,1,T.M Khan,Highway dacoity/robbery,0,,,,
2013,1,1,T.M Khan,Bank dacoity/robbery,0,,,,
2013,1,1,T.M Khan,Car snatching,0,,,,
2013,1,1,T.A Yar,Murder,3,,,,
2013,1,1,T.A Yar,Murder in the form of target killing,0,,,,
2013,1,1,T.A Yar,Murder during dacoity/robbery,1,,,,
2013,1,1,T.A Yar,Highway dacoity/robbery,0,,,,
2013,1,1,T.A Yar,Bank dacoity/robbery,0,,,,
2013,1,1,T.A Yar,Car snatching,1,,,,
2013,1,1,Matyari,Murder,1,,,,
2013,1,1,Matyari,Murder in the form of target killing,0,,,,
2013,1,1,Matyari,Murder during dacoity/robbery,0,,,,
2013,1,1,Matyari,Highway dacoity/robbery,1,,,,
2013,1,1,Matyari,Bank dacoity/robbery,0,,,,
2013,1,1,Matyari,Car snatching,0,,,,
2013,1,4,4.1,Murder,7,,,,
2013,1,4,4.1,Murder in the form of target killing,0,,,,
2013,1,4,4.1,Murder during dacoity/robbery,0,,,,
2013,1,4,4.1,Highway dacoity/robbery,0,,,,
2013,1,4,4.1,Bank dacoity/robbery,0,,,,
2013,1,4,4.1,Car snatching,0,,,,
2013,1,4,Umerkot,Murder,2,,,,
2013,1,4,Umerkot,Murder in the form of target killing,0,,,,
2013,1,4,Umerkot,Murder during dacoity/robbery,0,,,,
2013,1,4,Umerkot,Highway dacoity/robbery,0,,,,
2013,1,4,Umerkot,Bank dacoity/robbery,0,,,,
2013,1,4,Umerkot,Car snatching,0,,,,
2013,1,4,Sanghar,Murder,8,,,,
2013,1,4,Sanghar,Murder in the form of target killing,0,,,,
2013,1,4,Sanghar,Murder during dacoity/robbery,1,,,,
2013,1,4,Sanghar,Highway dacoity/robbery,0,,,,
2013,1,4,Sanghar,Bank dacoity/robbery,0,,,,
2013,1,4,Sanghar,Car snatching,0,,,,
2013,1,4,Tharparkar,Murder,0,,,,
2013,1,4,Tharparkar,Murder in the form of target killing,0,,,,
2013,1,4,Tharparkar,Murder during dacoity/robbery,0,,,,
2013,1,4,Tharparkar,Highway dacoity/robbery,0,,,,
2013,1,4,Tharparkar,Bank dacoity/robbery,0,,,,
2013,1,4,Tharparkar,Car snatching,0,,,,
2013,1,6,6.1,Murder,4,,,,
2013,1,6,6.1,Murder in the form of target killing,0,,,,
2013,1,6,6.1,Murder during dacoity/robbery,0,,,,
2013,1,6,6.1,Highway dacoity/robbery,0,,,,
2013,1,6,6.1,Bank dacoity/robbery,0,,,,
2013,1,6,6.1,Car snatching,0,,,,
2013,1,6,Ghotki,Murder,8,,,,
2013,1,6,Ghotki,Murder in the form of target killing,0,,,,
2013,1,6,Ghotki,Murder during dacoity/robbery,0,,,,
2013,1,6,Ghotki,Highway dacoity/robbery,0,,,,
2013,1,6,Ghotki,Bank dacoity/robbery,0,,,,
2013,1,6,Ghotki,Car snatching,0,,,,
2013,1,6,Khairpur,Murder,8,,,,
2013,1,6,Khairpur,Murder in the form of target killing,0,,,,
2013,1,6,Khairpur,Murder during dacoity/robbery,0,,,,
2013,1,6,Khairpur,Highway dacoity/robbery,0,,,,
2013,1,6,Khairpur,Bank dacoity/robbery,0,,,,
2013,1,6,Khairpur,Car snatching,1,,,,
2013,1,6,N. Feroze,Murder,5,,,,
2013,1,6,N. Feroze,Murder in the form of target killing,0,,,,
2013,1,6,N. Feroze,Murder during dacoity/robbery,0,,,,
2013,1,6,N. Feroze,Highway dacoity/robbery,0,,,,
2013,1,6,N. Feroze,Bank dacoity/robbery,0,,,,
2013,1,6,N. Feroze,Car snatching,0,,,,
2013,1,3,3.1,Murder,12,,,,
2013,1,3,3.1,Murder in the form of target killing,0,,,,
2013,1,3,3.1,Murder during dacoity/robbery,0,,,,
2013,1,3,3.1,Highway dacoity/robbery,0,,,,
2013,1,3,3.1,Bank dacoity/robbery,0,,,,
2013,1,3,3.1,Car snatching,0,,,,
2013,1,3,Shikarpur,Murder,12,,,,
2013,1,3,Shikarpur,Murder in the form of target killing,0,,,,
2013,1,3,Shikarpur,Murder during dacoity/robbery,0,,,,
2013,1,3,Shikarpur,Highway dacoity/robbery,0,,,,
2013,1,3,Shikarpur,Bank dacoity/robbery,0,,,,
2013,1,3,Shikarpur,Car snatching,0,,,,
2013,1,3,Kamber Shahdadkot,Murder,13,,,,
2013,1,3,Kamber Shahdadkot,Murder in the form of target killing,0,,,,
2013,1,3,Kamber Shahdadkot,Murder during dacoity/robbery,0,,,,
2013,1,3,Kamber Shahdadkot,Highway dacoity/robbery,0,,,,
2013,1,3,Kamber Shahdadkot,Bank dacoity/robbery,0,,,,
2013,1,3,Kamber Shahdadkot,Car snatching,0,,,,
2013,1,3,Jacobabad,Murder,9,,,,
2013,1,3,Jacobabad,Murder in the form of target killing,0,,,,
2013,1,3,Jacobabad,Murder during dacoity/robbery,0,,,,
2013,1,3,Jacobabad,Highway dacoity/robbery,0,,,,
2013,1,3,Jacobabad,Bank dacoity/robbery,0,,,,
2013,1,3,Jacobabad,Car snatching,0,,,,
2013,1,3,Kashmore,Murder,11,,,,
2013,1,3,Kashmore,Murder in the form of target killing,0,,,,
2013,1,3,Kashmore,Murder during dacoity/robbery,0,,,,
2013,1,3,Kashmore,Highway dacoity/robbery,0,,,,
2013,1,3,Kashmore,Bank dacoity/robbery,0,,,,
2013,1,3,Kashmore,Car snatching,0,,,,
2013,2,2,South Zone,Murder,26,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,South Zone,Murder in the form of target killing,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,South Zone,Murder during dacoity/robbery,3,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,South Zone,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,South Zone,Bank dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,South Zone,Car snatching,10,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,East Zone,Murder,40,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,East Zone,Murder in the form of target killing,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,East Zone,Murder during dacoity/robbery,3,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,East Zone,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,East Zone,Bank dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,East Zone,Car snatching,18,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Malir,Murder,29,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Malir,Murder in the form of target killing,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Malir,Murder during dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Malir,Highway dacoity/robbery,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Malir,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Malir,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,West Zone,Murder,64,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,West Zone,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,West Zone,Murder during dacoity/robbery,9,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,West Zone,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,West Zone,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,West Zone,Car snatching,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Central Zone,Murder,33,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Central Zone,Murder in the form of target killing,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Central Zone,Murder during dacoity/robbery,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Central Zone,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Central Zone,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,2,Central Zone,Car snatching,7,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.1,Murder,3,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.1,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.1,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.1,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.1,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.1,Car snatching,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Jamshoro,Murder,4,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Jamshoro,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Jamshoro,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Jamshoro,Highway dacoity/robbery,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Jamshoro,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Jamshoro,Car snatching,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Dadu,Murder,4,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Dadu,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Dadu,Murder during dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Dadu,Highway dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Dadu,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Dadu,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Thatta,Murder,3,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Thatta,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Thatta,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Thatta,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Thatta,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Thatta,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.2,Murder,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.2,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.2,Murder during dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.2,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.2,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,1.2,Car snatching,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,S.B Abad,Murder,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,S.B Abad,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,S.B Abad,Murder during dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,S.B Abad,Highway dacoity/robbery,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,S.B Abad,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,S.B Abad,Car snatching,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.M Khan,Murder,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.M Khan,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.M Khan,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.M Khan,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.M Khan,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.M Khan,Car snatching,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.A Yar,Murder,4,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.A Yar,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.A Yar,Murder during dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.A Yar,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.A Yar,Bank dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,T.A Yar,Car snatching,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Matyari,Murder,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Matyari,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Matyari,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Matyari,Highway dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Matyari,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,1,Matyari,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,4.1,Murder,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,4.1,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,4.1,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,4.1,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,4.1,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,4.1,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Umerkot,Murder,4,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Umerkot,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Umerkot,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Umerkot,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Umerkot,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Umerkot,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Sanghar,Murder,10,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Sanghar,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Sanghar,Murder during dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Sanghar,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Sanghar,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Sanghar,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Tharparkar,Murder,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Tharparkar,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Tharparkar,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Tharparkar,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Tharparkar,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,4,Tharparkar,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,6.1,Murder,6,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,6.1,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,6.1,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,6.1,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,6.1,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,6.1,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Ghotki,Murder,10,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Ghotki,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Ghotki,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Ghotki,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Ghotki,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Ghotki,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Khairpur,Murder,7,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Khairpur,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Khairpur,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Khairpur,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Khairpur,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,Khairpur,Car snatching,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,N. Feroze,Murder,7,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,N. Feroze,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,N. Feroze,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,N. Feroze,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,N. Feroze,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,6,N. Feroze,Car snatching,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,3.1,Murder,10,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,3.1,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,3.1,Murder during dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,3.1,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,3.1,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,3.1,Car snatching,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Shikarpur,Murder,12,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Shikarpur,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Shikarpur,Murder during dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Shikarpur,Highway dacoity/robbery,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Shikarpur,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Shikarpur,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Kamber Shahdadkot,Murder,6,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Kamber Shahdadkot,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Kamber Shahdadkot,Murder during dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Kamber Shahdadkot,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Kamber Shahdadkot,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Kamber Shahdadkot,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Jacobabad,Murder,8,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Jacobabad,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Jacobabad,Murder during dacoity/robbery,2,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Jacobabad,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Jacobabad,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Jacobabad,Car snatching,1,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
2013,2,3,Kashmore,Murder,9,"Value not available, used formula to calculate: March cuml-March value-Jan value",,,
